"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3065","Изменение данных авторизованного пользователя — name","tests","2026-05-07","passed","2026-05-07","TestUserUpdate","test_user_update","",""
"","320","Изменение данных неавторизованного пользователя","tests","2026-05-07","passed","2026-05-07","TestUserUpdate","test_user_update","",""
"","2046","Создание заказа с неверным хешем ингредиента","tests","2026-05-07","passed","2026-05-07","TestCreateOrder","test_create_order","",""
"","356","Создание пользователя без обязательного поля","tests","2026-05-07","passed","2026-05-07","TestRegister","test_register","",""
"","2660","Получение заказов авторизованного пользователя","tests","2026-05-07","passed","2026-05-07","TestGetOrders","test_get_orders","",""
"","421","Создание пользователя без обязательного поля","tests","2026-05-07","passed","2026-05-07","TestRegister","test_register","",""
"","2363","Изменение данных авторизованного пользователя — email","tests","2026-05-07","passed","2026-05-07","TestUserUpdate","test_user_update","",""
"","2837","Создание пользователя, который уже зарегистрирован","tests","2026-05-07","passed","2026-05-07","TestRegister","test_register","",""
"","1399","Создание уникального пользователя","tests","2026-05-07","passed","2026-05-07","TestRegister","test_register","",""
"","2528","Логин под существующим пользователем","tests","2026-05-07","passed","2026-05-07","TestLogin","test_login","",""
"","737","Создание заказа без авторизации","tests","2026-05-07","failed","2026-05-07","TestCreateOrder","test_create_order","",""
"","5649","Создание заказа с авторизацией и валидными ингредиентами","tests","2026-05-07","passed","2026-05-07","TestCreateOrder","test_create_order","",""
"","2778","Создание заказа без ингредиентов","tests","2026-05-07","passed","2026-05-07","TestCreateOrder","test_create_order","",""
"","318","Создание пользователя без обязательного поля","tests","2026-05-07","passed","2026-05-07","TestRegister","test_register","",""
"","371","Логин с неверным логином и паролем","tests","2026-05-07","passed","2026-05-07","TestLogin","test_login","",""
"","444","Получение заказов неавторизованного пользователя","tests","2026-05-07","passed","2026-05-07","TestGetOrders","test_get_orders","",""
